,date_month,state,cases,people_fully_vaccinated
269,20-07,South Dakota,7652,0.0
270,20-07,Tennessee,67515,0.0
271,20-07,Texas,296478,0.0
272,20-07,Utah,31228,0.0
273,20-07,Vermont,1318,0.0
274,20-07,Virgin Islands,249,0.0
275,20-07,Virginia,73527,0.0
276,20-07,Washington,45004,0.0
277,20-07,West Virginia,4557,0.0
278,20-07,Wisconsin,42409,0.0
279,20-07,Wyoming,1985,0.0
280,20-08,Alabama,107580,0.0
281,20-08,Alaska,4952,0.0
282,20-08,Arizona,192670,0.0
283,20-08,Arkansas,51992,0.0
284,20-08,California,621981,0.0
285,20-08,Colorado,52868,0.0
286,20-08,Connecticut,50897,0.0
287,20-08,Delaware,16396,0.0
288,20-08,District of Columbia,13159,0.0
289,20-08,Florida,569629,0.0
290,20-08,Georgia,218344,0.0
291,20-08,Guam,1471,0.0
292,20-08,Hawaii,4802,0.0
293,20-08,Idaho,27620,0.0
294,20-08,Illinois,206505,0.0
295,20-08,Indiana,81561,0.0
296,20-08,Iowa,52065,0.0
297,20-08,Kansas,34294,0.0
298,20-08,Kentucky,40677,0.0
299,20-08,Louisiana,136860,0.0
300,20-08,Maine,4144,0.0
301,20-08,Maryland,100237,0.0
302,20-08,Massachusetts,123199,0.0
303,20-08,Michigan,101831,0.0
304,20-08,Minnesota,64459,0.0
305,20-08,Mississippi,71755,0.0
306,20-08,Missouri,67442,0.0
307,20-08,Montana,5663,0.0
308,20-08,Nebraska,30241,0.0
309,20-08,Nevada,60648,0.0
310,20-08,New Hampshire,6980,0.0
311,20-08,New Jersey,189281,0.0
312,20-08,New Mexico,23302,0.0
313,20-08,New York,429617,0.0
314,20-08,North Carolina,143956,0.0
315,20-08,North Dakota,8448,0.0
316,20-08,Northern Mariana Islands,50,0.0
317,20-08,Ohio,107674,0.0
318,20-08,Oklahoma,47798,0.0
319,20-08,Oregon,23018,0.0
320,20-08,Pennsylvania,128531,0.0
321,20-08,Puerto Rico,25695,0.0
322,20-08,Rhode Island,20335,0.0
323,20-08,South Carolina,105882,0.0
324,20-08,South Dakota,10118,0.0
325,20-08,Tennessee,128771,0.0
326,20-08,Texas,555343,0.0
327,20-08,Utah,46413,0.0
328,20-08,Vermont,1509,0.0
329,20-08,Virgin Islands,734,0.0
330,20-08,Virginia,105750,0.0
331,20-08,Washington,69136,0.0
332,20-08,West Virginia,8457,0.0
333,20-08,Wisconsin,69560,0.0
334,20-08,Wyoming,3227,0.0
335,20-09,Alabama,140160,0.0
336,20-09,Alaska,7256,0.0
337,20-09,Arizona,209215,0.0
338,20-09,Arkansas,71497,0.0
339,20-09,California,769917,0.0
340,20-09,Colorado,62575,0.0
341,20-09,Connecticut,55031,0.0
342,20-09,Delaware,19137,0.0
343,20-09,District of Columbia,14687,0.0
344,20-09,Florida,668838,0.0
345,20-09,Georgia,280356,0.0
346,20-09,Guam,2935,0.0
347,20-09,Hawaii,10951,0.0
348,20-09,Idaho,36306,0.0
349,20-09,Illinois,267380,0.0
350,20-09,Indiana,109445,0.0
351,20-09,Iowa,75722,0.0
352,20-09,Kansas,51006,0.0
353,20-09,Kentucky,61986,0.0
354,20-09,Louisiana,159253,0.0
355,20-09,Maine,4918,0.0
356,20-09,Maryland,117745,0.0
357,20-09,Massachusetts,125393,0.0
358,20-09,Michigan,124978,0.0
359,20-09,Minnesota,85403,0.0
360,20-09,Mississippi,90523,0.0
361,20-09,Missouri,107687,0.0
362,20-09,Montana,9281,0.0
363,20-09,Nebraska,38970,0.0
364,20-09,Nevada,74129,0.0
365,20-09,New Hampshire,7748,0.0
366,20-09,New Jersey,199193,0.0
367,20-09,New Mexico,26923,0.0
368,20-09,New York,450425,0.0
369,20-09,North Carolina,187486,0.0
370,20-09,North Dakota,16067,0.0
371,20-09,Northern Mariana Islands,61,0.0
372,20-09,Ohio,139485,0.0
373,20-09,Oklahoma,71314,0.0
374,20-09,Oregon,29664,0.0
375,20-09,Pennsylvania,151081,0.0
376,20-09,Puerto Rico,38172,0.0
377,20-09,Rhode Island,23250,0.0
378,20-09,South Carolina,133470,0.0
379,20-09,South Dakota,16994,0.0
380,20-09,Tennessee,172692,0.0
381,20-09,Texas,701509,0.0
382,20-09,Utah,59017,0.0
383,20-09,Vermont,1702,0.0
384,20-09,Virgin Islands,1232,0.0
385,20-09,Virginia,135514,0.0
386,20-09,Washington,84222,0.0
387,20-09,West Virginia,12976,0.0
388,20-09,Wisconsin,97002,0.0
389,20-09,Wyoming,4438,0.0
390,20-10,Alabama,169162,0.0
391,20-10,Alaska,11268,0.0
392,20-10,Arizona,228748,0.0
393,20-10,Arkansas,96524,0.0
394,20-10,California,870380,0.0
395,20-10,Colorado,82443,0.0
396,20-10,Connecticut,62028,0.0
397,20-10,Delaware,22560,0.0
398,20-10,District of Columbia,16166,0.0
399,20-10,Florida,744980,0.0
400,20-10,Georgia,344093,0.0
401,20-10,Guam,4396,0.0
402,20-10,Hawaii,13922,0.0
403,20-10,Idaho,51471,0.0
404,20-10,Illinois,336211,0.0
405,20-10,Indiana,143617,0.0
406,20-10,Iowa,104232,0.0
407,20-10,Kansas,70815,0.0
408,20-10,Kentucky,86410,0.0
409,20-10,Louisiana,176952,0.0
410,20-10,Maine,5836,0.0
411,20-10,Maryland,134042,0.0
412,20-10,Massachusetts,141579,0.0
413,20-10,Michigan,156926,0.0
414,20-10,Minnesota,117159,0.0
415,20-10,Mississippi,108139,0.0
416,20-10,Missouri,156142,0.0
417,20-10,Montana,21043,0.0
418,20-10,Nebraska,55428,0.0
419,20-10,Nevada,88081,0.0
420,20-10,New Hampshire,9426,0.0
421,20-10,New Jersey,218783,0.0
422,20-10,New Mexico,34958,0.0
423,20-10,New York,484135,0.0
424,20-10,North Carolina,239338,0.0
425,20-10,North Dakota,29658,0.0
426,20-10,Northern Mariana Islands,80,0.0
427,20-10,Ohio,175843,0.0
428,20-10,Oklahoma,103836,0.0
429,20-10,Oregon,38536,0.0
430,20-10,Pennsylvania,182502,0.0
431,20-10,Puerto Rico,56085,0.0
432,20-10,Rhode Island,27438,0.0
433,20-10,South Carolina,161106,0.0
434,20-10,South Dakota,31012,0.0
435,20-10,Tennessee,219355,0.0
436,20-10,Texas,853977,0.0
437,20-10,Utah,90488,0.0
438,20-10,Vermont,1903,0.0
439,20-10,Virgin Islands,1329,0.0
440,20-10,Virginia,162941,0.0
441,20-10,Washington,100838,0.0
442,20-10,West Virginia,19082,0.0
443,20-10,Wisconsin,171480,0.0
444,20-10,Wyoming,8375,0.0
445,20-11,Alabama,217822,0.0
446,20-11,Alaska,23688,0.0
447,20-11,Arizona,275523,0.0
448,20-11,Arkansas,133040,0.0
449,20-11,California,1035981,0.0
450,20-11,Colorado,164408,0.0
451,20-11,Connecticut,88645,0.0
452,20-11,Delaware,28803,0.0
453,20-11,District of Columbia,18977,0.0
454,20-11,Florida,885193,0.0
455,20-11,Georgia,409504,0.0
456,20-11,Guam,6893,0.0
457,20-11,Hawaii,16619,0.0
458,20-11,Idaho,82545,0.0
459,20-11,Illinois,574722,0.0
460,20-11,Indiana,254172,0.0
461,20-11,Iowa,186314,0.0
462,20-11,Kansas,117851,0.0
463,20-11,Kentucky,140267,0.0
464,20-11,Louisiana,204513,0.0
465,20-11,Maine,8944,0.0
466,20-11,Maryland,166317,0.0
467,20-11,Massachusetts,188275,0.0
468,20-11,Michigan,275892,0.0
469,20-11,Minnesota,223637,0.0
470,20-11,Mississippi,134309,0.0
471,20-11,Missouri,249608,0.0
472,20-11,Montana,47158,0.0
473,20-11,Nebraska,98161,0.0
474,20-11,Nevada,120744,0.0
475,20-11,New Hampshire,14671,0.0
476,20-11,New Jersey,281075,0.0
477,20-11,New Mexico,64201,0.0
478,20-11,New York,564952,0.0
479,20-11,North Carolina,312406,0.0
480,20-11,North Dakota,63802,0.0
481,20-11,Northern Mariana Islands,100,0.0
482,20-11,Ohio,298096,0.0
483,20-11,Oklahoma,154128,0.0
484,20-11,Oregon,56880,0.0
485,20-11,Pennsylvania,269043,0.0
486,20-11,Puerto Rico,76094,0.0
487,20-11,Rhode Island,41529,0.0
488,20-11,South Carolina,195507,0.0
489,20-11,South Dakota,65381,0.0
490,20-11,Tennessee,305211,0.0
491,20-11,Texas,1090500,0.0
492,20-11,Utah,153808,0.0
493,20-11,Vermont,2889,0.0
494,20-11,Virgin Islands,1434,0.0
495,20-11,Virginia,201960,0.0
496,20-11,Washington,135365,0.0
497,20-11,West Virginia,33659,0.0
498,20-11,Wisconsin,329924,0.0
499,20-11,Wyoming,22494,0.0
500,20-12,Alabama,301533,0.0
501,20-12,Alaska,41645,0.0
502,20-12,Arizona,427121,0.0
503,20-12,Arkansas,189198,0.0
504,20-12,California,1655086,0.0
505,20-12,Colorado,295558,0.0
506,20-12,Connecticut,155462,0.0
507,20-12,Delaware,47142,0.0
508,20-12,District of Columbia,25339,0.0
509,20-12,Florida,1143786,0.0
510,20-12,Georgia,534488,0.0
511,20-12,Guam,8118,0.0
512,20-12,Hawaii,19541,0.0
513,20-12,Idaho,124286,0.0
514,20-12,Illinois,865261,0.0
515,20-12,Indiana,437513,0.0
516,20-12,Iowa,258253,0.0
517,20-12,Kansas,193555,0.0
518,20-12,Kentucky,231287,0.0
519,20-12,Louisiana,272276,0.0
520,20-12,Maine,16760,0.0
521,20-12,Maryland,239694,0.0
522,20-12,Massachusetts,298160,0.0
523,20-12,Michigan,477174,0.0
524,20-12,Minnesota,384223,0.0
525,20-12,Mississippi,183300,0.0
526,20-12,Missouri,370869,0.0
527,20-12,Montana,74160,0.0
528,20-12,Nebraska,151901,0.0
529,20-12,Nevada,192109,0.0
530,20-12,New Hampshire,32545,0.0
531,20-12,New Jersey,411282,0.0
532,20-12,New Mexico,122557,0.0
533,20-12,New York,799551,0.0
534,20-12,North Carolina,447303,0.0
535,20-12,North Dakota,88401,0.0
536,20-12,Northern Mariana Islands,113,0.0
537,20-12,Ohio,579357,0.0
538,20-12,Oklahoma,241991,0.0
539,20-12,Oregon,96093,0.0
540,20-12,Pennsylvania,515009,0.0
541,20-12,Puerto Rico,97034,0.0
542,20-12,Rhode Island,75237,0.0
543,20-12,South Carolina,257320,0.0
544,20-12,South Dakota,91699,0.0
545,20-12,Tennessee,460454,0.0
546,20-12,Texas,1513068,0.0
547,20-12,Utah,237787,0.0
548,20-12,Vermont,5923,0.0
549,20-12,Virgin Islands,1828,0.0
550,20-12,Virginia,288309,0.0
551,20-12,Washington,214085,0.0
552,20-12,West Virginia,65708,0.0
553,20-12,Wisconsin,475340,0.0
554,20-12,Wyoming,40064,0.0
555,21-01,Alabama,417528,13488.0
556,21-01,Alaska,51163,9406.0
557,21-01,Arizona,662597,20837.0
558,21-01,Arkansas,267635,18781.0
559,21-01,California,2937755,204374.0
560,21-01,Colorado,373647,47021.0
561,21-01,Connecticut,223422,17162.0
562,21-01,Delaware,68727,5354.0
563,21-01,District of Columbia,33140,8250.0
564,21-01,Florida,1548059,74776.0
565,21-01,Georgia,776485,22324.0
566,21-01,Hawaii,24032,7268.0
567,21-01,Idaho,154785,8843.0
568,21-01,Illinois,1062121,91248.0
569,21-01,Indiana,586206,37683.0
570,21-01,Iowa,303927,10742.0
571,21-01,Kansas,259196,13496.0
572,21-01,Kentucky,324505,10672.0
573,21-01,Louisiana,364853,30416.0
574,21-01,Maine,32781,8274.0
575,21-01,Maryland,320923,15830.0
576,21-01,Massachusetts,459927,34885.0
577,21-01,Michigan,577657,48536.0
578,21-01,Minnesota,443630,27799.0
579,21-01,Mississippi,248189,8396.0
580,21-01,Missouri,470284,36525.0
581,21-01,Montana,88725,8193.0
582,21-01,Nebraska,181895,13050.0
583,21-01,Nevada,258438,15308.0
584,21-01,New Hampshire,55500,5700.0
585,21-01,New Jersey,616086,36741.0
586,21-01,New Mexico,161805,18711.0
587,21-01,North Carolina,659707,42790.0
588,21-01,North Dakota,95621,7555.0
589,21-01,Northern Mariana Islands,128,1146.0
590,21-01,Ohio,814442,13552.0
591,21-01,Oklahoma,348044,28917.0
592,21-01,Oregon,131296,12795.0
593,21-01,Pennsylvania,760552,66941.0
594,21-01,Puerto Rico,119569,16360.0
595,21-01,Rhode Island,104443,8156.0
596,21-01,South Carolina,375967,19477.0
597,21-01,South Dakota,104937,9666.0
598,21-01,Tennessee,663486,37800.0
599,21-01,Texas,2094606,155660.0
600,21-01,Utah,320175,10534.0
601,21-01,Vermont,9734,4100.0
602,21-01,Virgin Islands,2166,157.0
603,21-01,Virginia,422634,28164.0
604,21-01,Washington,290288,31581.0
605,21-01,West Virginia,106649,21162.0
606,21-01,Wisconsin,563866,17108.0
607,21-01,Wyoming,48909,2803.0
608,21-03,Alabama,508229,501344.0
609,21-03,Alaska,60174,132532.0
610,21-03,Arizona,833391,913522.0
611,21-03,Arkansas,327060,313372.0
612,21-03,California,3626304,4002159.0
613,21-03,Colorado,446827,720482.0
614,21-03,Connecticut,293102,509812.0
615,21-03,Delaware,90614,120782.0
616,21-03,District of Columbia,42623,65479.0
617,21-03,Florida,1979626,2451940.0
618,21-03,Georgia,1009499,1044640.0
619,21-03,Guam,8742,29082.0
620,21-03,Hawaii,28312,208017.0
621,21-03,Idaho,175774,212093.0
622,21-03,Illinois,1213763,1508375.0
623,21-03,Indiana,676235,854647.0
624,21-03,Iowa,343303,423373.0
625,21-03,Kansas,301134,329299.0
626,21-03,Kentucky,420010,535241.0
627,21-03,Louisiana,437565,550112.0
628,21-03,Maine,47199,190539.0
629,21-03,Maryland,394240,752735.0
630,21-03,Massachusetts,603464,904685.0
631,21-03,Michigan,672687,1160803.0
632,21-03,Minnesota,498286,734565.0
633,21-03,Mississippi,300881,329254.0
634,21-03,Missouri,578559,647356.0
635,21-03,Montana,102055,150873.0
636,21-03,Nebraska,205440,251322.0
637,21-03,Nevada,299517,360316.0
638,21-03,New Hampshire,78813,158168.0
639,21-03,New Jersey,840846,1104854.0
640,21-03,New Mexico,188488,353640.0
641,21-03,North Carolina,887002,1253054.0
642,21-03,North Dakota,101032,113549.0
643,21-03,Northern Mariana Islands,154,9162.0
644,21-03,Ohio,990340,1426711.0
645,21-03,Oklahoma,432793,517222.0
646,21-03,Oregon,159872,508427.0
647,21-03,Pennsylvania,972772,1422010.0
648,21-03,Puerto Rico,136610,279934.0
649,21-03,Rhode Island,131487,117146.0
650,21-03,South Carolina,534188,586073.0
651,21-03,South Dakota,114649,138196.0
652,21-03,Tennessee,778768,670717.0
653,21-03,Texas,2728799,2866512.0
654,21-03,Utah,378658,266179.0
655,21-03,Vermont,16992,80189.0
656,21-03,Virgin Islands,2767,8608.0
657,21-03,Virginia,595865,1088037.0
658,21-03,Washington,353344,954856.0
659,21-03,West Virginia,135678,261032.0
660,21-03,Wisconsin,625888,753712.0
661,21-03,Wyoming,55327,81121.0
662,21-04,Alabama,521201,893002.0
663,21-04,Alaska,65201,225221.0
664,21-04,Arizona,851737,1670496.0
665,21-04,Arkansas,332949,606113.0
666,21-04,California,3711584,8959332.0
667,21-04,Colorado,488151,1379177.0
668,21-04,Connecticut,328000,1058759.0
669,21-04,Delaware,99915,229230.0
670,21-04,District of Columbia,46315,153091.0
671,21-04,Florida,2148440,4819498.0
672,21-04,Georgia,1055997,1835536.0
673,21-04,Guam,8825,40329.0
674,21-04,Hawaii,31337,379371.0
675,21-04,Idaho,184661,385531.0
676,21-04,Illinois,1296240,2948062.0
677,21-04,Indiana,706642,1449816.0
678,21-04,Iowa,358873,838544.0
679,21-04,Kansas,307634,709852.0
680,21-04,Kentucky,439200,1141656.0
681,21-04,Louisiana,451476,1017907.0
682,21-04,Maine,55953,414949.0
683,21-04,Maryland,431981,1567793.0
684,21-04,Massachusetts,667066,1892688.0
685,21-04,Michigan,856086,2423714.0
686,21-04,Minnesota,549908,1524901.0
687,21-04,Mississippi,308521,599482.0
688,21-04,Missouri,598251,1322317.0
689,21-04,Montana,106936,277211.0
690,21-04,Nebraska,215383,508852.0
691,21-04,Nevada,309699,694463.0
692,21-04,New Hampshire,90525,363308.0
693,21-04,New Jersey,967401,2494175.0
694,21-04,New Mexico,194605,640363.0
695,21-04,North Carolina,942441,2416439.0
696,21-04,North Dakota,105411,212728.0
697,21-04,Northern Mariana Islands,161,14626.0
698,21-04,Ohio,1048109,2839225.0
699,21-04,Oklahoma,444590,974991.0
700,21-04,Oregon,172932,988029.0
701,21-04,Pennsylvania,1098619,3120764.0
702,21-04,Puerto Rico,151451,576945.0
703,21-04,Rhode Island,143740,322059.0
704,21-04,South Carolina,566018,1110692.0
705,21-04,South Dakota,120613,260782.0
706,21-04,Tennessee,814809,1294250.0
707,21-04,Texas,2840297,6158775.0
708,21-04,Utah,391694,574862.0
709,21-04,Vermont,21664,181510.0
710,21-04,Virgin Islands,3022,21693.0
711,21-04,Virginia,641626,2086620.0
712,21-04,Washington,383951,1930996.0
713,21-04,West Virginia,147596,447532.0
714,21-04,Wisconsin,649388,1555733.0
715,21-04,Wyoming,57203,135799.0
716,21-05,Alabama,539829,1348023.0
717,21-05,Alaska,68897,275681.0
718,21-05,Arizona,872496,2419252.0
719,21-05,Arkansas,338687,876239.0
720,21-05,California,3768113,14904046.0
721,21-05,Colorado,533999,2335422.0
722,21-05,Connecticut,344977,1698193.0
723,21-05,Delaware,106873,377646.0
724,21-05,District of Columbia,48530,269389.0
725,21-05,Florida,2289514,7607709.0
726,21-05,Georgia,1090477,3095445.0
727,21-05,Guam,9059,64825.0
728,21-05,Hawaii,34064,609688.0
729,21-05,Idaho,189982,546992.0
730,21-05,Illinois,1368875,4563993.0
731,21-05,Indiana,738064,2160955.0
732,21-05,Iowa,369230,1266340.0
733,21-05,Kansas,313776,1054355.0
734,21-05,Kentucky,454940,1603566.0
735,21-05,Louisiana,464833,1371256.0
736,21-05,Maine,65523,653998.0
737,21-05,Maryland,455827,2533348.0
738,21-05,Massachusetts,701490,3173423.0
739,21-05,Michigan,974436,3817108.0
740,21-05,Minnesota,593715,2314759.0
